Project Name,Short Description,Project URL,Try it Out Links
[T09] - Bounce Beat,Hobbies & Skills,https://devpost.com/software/bounce-beat,No links available
[T05] - Parkio,"Skill up, Game on!",https://devpost.com/software/parkio,No links available
[T23] - sAIfer,An XR companion that helps you prepare your home to be safer in case of emergencies and disasters with the help of AI image recognition.,https://devpost.com/software/saifer,No links available
[T28] - Habibi,"Bridge the gap with our mixed reality app. Share notes, images, and objects on a virtual wall with loved ones—powered by AI and stylus. For lovers, friends, and family in long-distance relationships.",https://devpost.com/software/tether-h041aj,No links available
[T10] - Drezzle,"A dreamy single/multiplayer puzzle experience enhanced by AI. Players create their opponent's puzzle by mixing 3D models through a portal, generating prompts for the AI to craft unique challenges.",https://devpost.com/software/drezzle,https://drive.google.com/drive/folders/1_vajp35xdF5yiXQs-n1h8u-Nw3sJAUXY?usp=sharing
[T20] - CoLabyrinth,"Guide with your voice, shape the world with your hands: Help the lost character find its way and overcome obstacles",https://devpost.com/software/colabyrinth,https://drive.google.com/drive/folders/1B9dajAA0RYFtjouOBC9GnKeRlnkz1s24?usp=drive_link
[T30] - CircuitVerse XR,"CircuitVerse XR is a VR platform using MetaQuest-3 that lets users build and simulate electrical circuits in 3D. Gives real-time feedback, makes circuit design engaging & accessible for all learners",https://devpost.com/software/circuitverse-xr,https://drive.google.com/drive/folders/1FMjsvGynnd6KczgyCckK-pYN6ZQJ62lw?usp=drive_link
[T04] - Mind Room,A Meta Quest 3 visualizer app for making a better representation of searching research papers.,https://devpost.com/software/mind-room,No links available
[T13] - FluencyQuest,"Immersively learn a foreign language in a fun & engaging way using the Logitech MX Ink along w/ several features of the Meta Presence Platform. (Self-driven learning / skills building, not classroom)",https://devpost.com/software/fluencyquest,https://drive.google.com/file/d/10SMbOV4t24pB1Ly8nI0dlF-o0ULBHznM/view?usp=share_link
[T03] - Turkish Tile Art,Making tile art on objects in mixed reality,https://devpost.com/software/turkish-tile-art,No links available
[T08] - SignSync,an app to help the deaf people communicate with with others seamlessly by translating any language to sign language and vice versa,https://devpost.com/software/signsync-md6tjv,https://drive.google.com/drive/folders/1u9iXKbyD2OaY6XTYPWJXt2SbthSs45H_?usp=drive_link
[T32] - Drone Acrobats,"Scan your environment, create challenges for your friends with Map Making Mode, and compete against them in high-flying multiplayer battles.",https://devpost.com/software/drone-acrobats,https://github.com/BCUU/MultiDrone
[T33] - Rock Paper Scissors World,A gamified way to learn world languages and cultures.,https://devpost.com/software/rock-paper-scissors-world,https://drive.google.com/drive/u/0/folders/1d24wB8yxKbKvmiPEC9JsBZ6JXjP3hUkI
[T26] - FloorFisher,"In this MR game, players fish through a hole in their room, catching fish to sell while also sorting any trash they reel in like plastic bottles or metal cans into the correct recycling bins.",https://devpost.com/software/t26-floorfisher,No links available
[T25] - POEY,"Whenever you get lost in Mixed Reality, just say ""POEY""!",https://devpost.com/software/poey,https://drive.google.com/drive/folders/1yVcJynS4r1Rwy_H8n5sO3Sq00DezK0-7?usp=drive_link
[T21] - MRathon,Let's have a running race in a room!,https://devpost.com/software/mrathon,No links available
[T22] - Hand of Magic,"Transform your reality into a battlefield with Hand of Magic! Scan your environment with Mixed Reality and hand movement technology, cast spells against monsters, and survive!",https://devpost.com/software/hand-of-magic,No links available
[T24] - 321_Ignition,"321 Ignition lets students build and launch satellites in an immersive XR world. They solve real-world problems while learning STEM, with AI guidance making it fun, hands-on, and interactive.",https://devpost.com/software/321_ignition,https://github.com/prasanthsasikumar/RetroSpace
[T19] - Green Peaks,Green Peaks is a VR-based climbing game designed for Quest 3. The game offers both physically and emotionally challenging courses while making players aware of environmental issues.,https://devpost.com/software/green-peaks,No links available
[T11] - PHANTOM PAIN REHABILITATION WITH OCULUS QUEST 3,A fun VR rehabilitation for phantom pain. Quest 3 was made for this purpose,https://devpost.com/software/phantom-pain-rehabilitation-with-oculus-quest-3,No links available
[T12] - There is Something in the House,“Something in the House” is a co-op mixed reality game in which two players join their forces against a supernatural entity that is directly invading the real-life spaces they are in.,https://devpost.com/software/there-is-something-in-the-house,No links available
"[T29] - Pick One, Flick Some",Classic family game “Guess Who?” meets interactive characters of your mutual friends in your living room!,https://devpost.com/software/pick-one-flick-some,https://drive.google.com/drive/folders/1ipCOqItEx_aQARxmU2tmW07H6RG3v6wH
[T14] - Pop'Em All!,"Pop'Em All is a fast-paced MR game where players pop team-colored balloons with darts. Use real-time physics, buffs, and strategy to win. The scifi version adds a futuristic robot power core showdown",https://devpost.com/software/pop-em-all,No links available
[T18] - PosturePomodoro XR,An ergonomic virtual workstation that combines productivity with real-time posture monitoring and gamified exercises for posture health.,https://devpost.com/software/posturepomodoro-xr,No links available
[T17] - Dawn: After the Quake,Educational vr game where you save people in earthquake zone.,https://devpost.com/software/dawn-after-the-quake,https://drive.google.com/drive/folders/1Hx3JiEiOZ-35BGGE4gdwYLoOSocbsFQJ?usp=sharing
[T02] - Reflection,Includes 2 minigames,https://devpost.com/software/reflection-5zyfm7,"https://github.com/BugKillR/XRHack, https://drive.google.com/drive/u/0/folders/1RbrYvHAhPCyv182l-8l0FN0Qy8p-1HIr"
[T01] - TO-VR,"An Age of War style game with turrets, towers, nutcrackers and mine cars!",https://devpost.com/software/to-vr,No links available
[T27] - Untangle,A 3d mindmap that can be modified in anyway possible to match the user's expectations and needs,https://devpost.com/software/untangle-nwg2sh,No links available
