Project Name,Short Description,Project URL,Try it Out Links
[U31] - Pixel Prints,"Pixel Prints brings the traditional art of block printing to mixed reality! Design, carve and stamp beautiful creations with your friends!",https://devpost.com/software/pixel-prints,No links available
[U11] - Shufa,"Shufa is an app for Quest 3, that teaches calligraphy with precision and ease, guided in mixed reality and using the Logitech MX Ink Pen for accuracy and ergonomics.",https://devpost.com/software/shufa,https://drive.google.com/drive/folders/1ZHJIXNMoZHdDlQnY_qrQtNMbWYvjr5eL
HabitSpace,"HabitSpace revolutionises journaling with mixed reality and the Logitech MX Stylus. Adapt your personal space into a serene, interactive environment with AI-driven guidance. A safe space for wellbeing",https://devpost.com/software/habitspace,https://bitbucket.org/antoniomacedo85/novoxrbase/src/tonyparticles/
[U14] - IntelliSpace,"From Vision to Reality, Instantly",https://devpost.com/software/intellispace,https://drive.google.com/file/d/11frMwKYGtDbjW-hfXlDU3LbNyunn9u_M/view?usp=drive_link
[U3] - Project Chaos,A co-located multiplayer game in mixed reality where you battle as divine Agents in a chaotic vertical tug-of-war between Olympus and the Underworld in your own space!,https://devpost.com/software/fresh-do-chaos,No links available
[U6] - Battle Orb,"Battle Orb is a multiplayer game that takes place in a sphere. Each player controls a character & you must defeat the other players by slingshotting your character into the others, thus giving damage",https://devpost.com/software/battle-orb,No links available
[U20] - HoloSign,"Our app uses AI and XR to teach British Sign Language, then lets users apply this knowledge placed in real-life scenarios, starting with chess, creating an immersive, educational, and fun experience",https://devpost.com/software/holosign,No links available
[U27] - Learn Anything,"Learn anything by immersing yourself in an engaging, multi-sensory learning experience powered by generative AI.",https://devpost.com/software/learn-anything-tvcdef,No links available
[U24] - Project Luna,"Mindfulness habits can be difficult to form. Drawing on behavioural science, our responsive visualisation experience will reflect your emotional sentiment as you respond to questions about your day.",https://devpost.com/software/frontier-project-luna,No links available
[U36] - WonderWall,"Liberate the creative power of your body to create, use mixed reality to turn your walls into a flexible workspace.",https://devpost.com/software/wallpaper-blankslate-bigpicture,https://drive.google.com/drive/folders/1MJ18zNR_JbjBd4bqB4sTJ71OkoPeBACO?usp=drive_link
[U35] - e-wolve,"We aim to create an interactive magical book that brings stories to life, using vivid imagery and the surrounding space to fully immerse the reader in the narrative.",https://devpost.com/software/e-wolve,No links available
[U34] - Yarikata,Show me how to assemble and disassemble anything using XR device,https://devpost.com/software/yarikata,No links available
[U33] - XR BENCH CONNECT,"XR Bench Connect brings makerspace to you, virtually. Collaborate, design, innovate in immersive 3D environments with AI-driven tools, no matter where you are. Build the future, together from anywhere",https://devpost.com/software/xr-bench-connect,https://drive.google.com/drive/folders/1crxha6hV7HoA5yukfgEBsqIZbnL_v2-X
[U30] - Elemental Clash,"Elemental Clash is an electrifying, fire-and-water-flinging showdown where you race against time to protect your room from being consumed by the unstoppable fury of the opposing element!",https://devpost.com/software/flamefury,https://drive.google.com/file/d/1xw1e_DuQSJ8dNATK0jI-y1XrGq5i1heL/view?usp=sharing
[U29] - ForFinders,Explore the magic of London without ever leaving your bedroom! ForFinders is MR experience that seamlessly blends AR and VR to allow users to see a new side of their city in a fun and innovative way.,https://devpost.com/software/forfinders,No links available
[U28] - Living Legends,"Living Legends offers immersive experiences where you can learn from and interact with historical figures like Da Vinci, unlocking the secrets of their genius.",https://devpost.com/software/living-legends,No links available
[U26] - Cake Decorator,"With Cake Decorator, everything is a piece of cake—immerse yourself in Mixed Reality to design and perfect your sweetest creations like never before!",https://devpost.com/software/cake-decorator,No links available
[U25] - Wexhibit,We need such a MR tool that can: Enable remote collaboration; Democratizes art through open public participation; Reduce financial & communication costs;,https://devpost.com/software/wexhibit,https://drive.google.com/drive/folders/1RTtCqG_svxs9dwq4Uf5JdOsE9sSu7FmF?usp=sharing
[U23] - Focus Realm,"Our XR app transforms task management by bringing your to-do list into 3D space. Organise, prioritise, and engage with your tasks intuitively, making productivity not just manageable, but enjoyable.",https://devpost.com/software/focus-realm,No links available
[U22] - ReelSpace,AI-generated immersive virtual environments tailored to different film genres and styles,https://devpost.com/software/reelspace,No links available
[U21] - Medspatial,Medspatial revolutionises medical imaging by using AI-powered XR technology with USD support to convert 2D scans into immersive 3D models.,https://devpost.com/software/medspatial,No links available
[U19] - Kairosity,"Kairosity unlocks learning Using AI tags and spaced repetition, it turns your space into an interactive environment, making learning fun, contextual, and efficient. Boost retention across any field.",https://devpost.com/software/kairocity,No links available
[U18] - Language Room,Use the power of AI and your own room to study and master languages.,https://devpost.com/software/arc-furnace-the-language-room,https://github.com/dantonks/the-language-room
[U17] - Momento,"Momento allows Museums, Schools and individuals to capture and preserve important 3D artefacts and provide Mixed Reality interaction with those works to everyone regardless of physical location.",https://devpost.com/software/momento-zqxyg3,https://vx77x.zappar.io/5280441649818412868/1.0.3/
[U16] - Augmented intelligence learning,learn around you interact and solve problems experiment with xr and ai,https://devpost.com/software/augmented-intelligence-learning,No links available
[U15] - IMMERTRIG,An innovative XR application that transforms the way students engage with vectors by leveraging spatial awareness and immersive 3D content.,https://devpost.com/software/immertrig,https://github.com/xiaohanzai/LondonHack
[U13] - Jafergus,"Experience the future of gaming with our VR arcade-style game, where AI generates unique worlds based on your chosen theme, from futuristic cities to wild jungles.",https://devpost.com/software/jafergus,No links available
[U12] - Go Fish XR,Our game is mixed reality take on the traditional 'Go Fish!' tabletop card game with immersive interactions (fishing interactions with controllers) for all core game mechanics.,https://devpost.com/software/go-fish-yneg1h,https://drive.google.com/drive/folders/1LrF52XbI4dM4FXLjyfnQSM9hXStg0WG_?usp=drive_link
[U10] - Yolo:cx,"xrBrickViewer, the aim is to help people build legos with ar using the meta quest 3 passthrough.",https://devpost.com/software/yolo-cx,"https://drive.google.com/drive/folders/1R_kyvRVh9BTY2iFAUHrlPHlclLFP-PsF, https://sylwester.tech/xrbv/"
[U9] - Norman's Novels,"Step In Norman's novels, characters relive endless tragic deaths. As they struggle to escape, Norman must keep them bound to their fates, or risk losing his fame and success...",https://devpost.com/software/norman-s-novels,No links available
[U8] - Dino Dig,Excavate fossils from your walls and learn about archeology in this mixed reality experience for quest 3.,https://devpost.com/software/dino-dig,No links available
[U7] - Lantern in the Room,Bringing Human Connection Back to Digital Communication Through Handwritten MR Experiences in a Safe Space for Deep Conversations.,https://devpost.com/software/elephant-in-the-room,https://github.com/sashabelitskaja/XRhack2024
[U37] - TruffleTrove,Spore & Collect Memories,https://devpost.com/software/truffletrove,No links available
[U5] - ForestFlux,"ForestFlux employs MR technology to immersively visualize forest carbon storage, offering small forest owners efficient, real-time management solutions that replace costly, labor-intensive methods.",https://devpost.com/software/forestflux,https://github.com/bahmad503/FrestFlux-main
[U39] - Wabi-Sabi,"An evolving digital tabletop diorama, augmented with mixed reality to enhance a museum exhibition webpage.",https://devpost.com/software/tea-ceremony,https://p2568.zappar.io/2641080894681439934/1.0.1/
[U4] - Fruit Noir XR,Transform your virtual fruit bowl into a thrilling film noir detective story as you step into the shoes of a thick-skinned detective to unpeel the truth about fresh fruit from the Big Banana herself.,https://devpost.com/software/unusual-suspects,No links available
[U38] - See Hear,An immersive XR utility app aimed at accessibility and inclusion.,https://devpost.com/software/see-hear,No links available
[U2] - Open Lingua,Open Lingua is a space for adult language to practice speaking production by providing a variety of communicative tasks for their level. You can’t practice speaking with a book!,https://devpost.com/software/open-lingua,No links available
[U1] - TaiChi Experience,"Discover how Tai chi VR enhance the harmony between the mind and body, and cultivate the flow of inner life energy through the bod.",https://devpost.com/software/nest-taichi-experience,https://drive.google.com/file/d/14M1L-8bdo8wqqCyBAAqSUbtabFrg-cLU/view
